"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2021-01-12,"BC","Northern","Northern Interior",17,23.57
2021-01-12,"BC","Northern","Northwest",14,20.14
2021-01-12,"BC","Northern","Unknown",0,0
2021-01-12,"BC","Vancouver Coastal","All",116,101.57
2021-01-12,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",31,19.29
2021-01-12,"BC","Vancouver Coastal","Richmond",9,11.57
2021-01-12,"BC","Vancouver Coastal","Unknown",0,0
2021-01-12,"BC","Vancouver Coastal","Vancouver",76,70.71
2021-01-12,"BC","Vancouver Island","All",33,20.71
2021-01-12,"BC","Vancouver Island","Central Vancouver Island",24,14.29
2021-01-12,"BC","Vancouver Island","North Vancouver Island",1,2.71
2021-01-12,"BC","Vancouver Island","South Vancouver Island",8,3.71
2021-01-12,"Out of Canada","Out of Canada","Out of Canada",0,1
2021-01-13,"BC","All","All",523,498.29
2021-01-13,"BC","Fraser","All",242,246
2021-01-13,"BC","Fraser","Fraser East",57,52.43
2021-01-13,"BC","Fraser","Fraser North",46,44
2021-01-13,"BC","Fraser","Fraser South",138,149
2021-01-13,"BC","Fraser","Unknown",1,0.57
2021-01-13,"BC","Interior","All",118,78
2021-01-13,"BC","Interior","East Kootenay",4,3.14
2021-01-13,"BC","Interior","Kootenay Boundary",2,1.29
2021-01-13,"BC","Interior","Okanagan",55,33
2021-01-13,"BC","Interior","Thompson Cariboo Shuswap",57,40.57
2021-01-13,"BC","Northern","All",52,52.29
2021-01-13,"BC","Northern","Northeast",10,10.86
2021-01-13,"BC","Northern","Northern Interior",18,20.14
2021-01-13,"BC","Northern","Northwest",24,21.29
2021-01-13,"BC","Northern","Unknown",0,0
2021-01-13,"BC","Vancouver Coastal","All",94,100.57
2021-01-13,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",25,21.43
2021-01-13,"BC","Vancouver Coastal","Richmond",10,11
2021-01-13,"BC","Vancouver Coastal","Unknown",1,0.14
2021-01-13,"BC","Vancouver Coastal","Vancouver",58,68
2021-01-13,"BC","Vancouver Island","All",17,21.43
2021-01-13,"BC","Vancouver Island","Central Vancouver Island",14,14.71
2021-01-13,"BC","Vancouver Island","North Vancouver Island",0,2.57
2021-01-13,"BC","Vancouver Island","South Vancouver Island",3,4.14
2021-01-13,"Out of Canada","Out of Canada","Out of Canada",0,0.86
2021-01-14,"BC","All","All",495,491.14
2021-01-14,"BC","Fraser","All",248,238
2021-01-14,"BC","Fraser","Fraser East",59,52.57
2021-01-14,"BC","Fraser","Fraser North",55,44.14
2021-01-14,"BC","Fraser","Fraser South",134,140.71
2021-01-14,"BC","Fraser","Unknown",0,0.57
2021-01-14,"BC","Interior","All",87,81.71
2021-01-14,"BC","Interior","East Kootenay",7,3.86
2021-01-14,"BC","Interior","Kootenay Boundary",1,1.29
2021-01-14,"BC","Interior","Okanagan",30,31.29
2021-01-14,"BC","Interior","Thompson Cariboo Shuswap",49,45.29
2021-01-14,"BC","Northern","All",41,51.29
2021-01-14,"BC","Northern","Northeast",7,10.43
2021-01-14,"BC","Northern","Northern Interior",12,19
2021-01-14,"BC","Northern","Northwest",22,21.86
2021-01-14,"BC","Northern","Unknown",0,0
2021-01-14,"BC","Vancouver Coastal","All",106,101
2021-01-14,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",35,24
2021-01-14,"BC","Vancouver Coastal","Richmond",10,9.71
2021-01-14,"BC","Vancouver Coastal","Unknown",0,0.14
2021-01-14,"BC","Vancouver Coastal","Vancouver",61,67.14
2021-01-14,"BC","Vancouver Island","All",13,19.14
2021-01-14,"BC","Vancouver Island","Central Vancouver Island",9,12.71
2021-01-14,"BC","Vancouver Island","North Vancouver Island",1,2.14
2021-01-14,"BC","Vancouver Island","South Vancouver Island",3,4.29
2021-01-14,"Out of Canada","Out of Canada","Out of Canada",0,0.57
2021-01-15,"BC","All","All",573,497.57
2021-01-15,"BC","Fraser","All",230,231.86
2021-01-15,"BC","Fraser","Fraser East",52,54
2021-01-15,"BC","Fraser","Fraser North",74,48.14
2021-01-15,"BC","Fraser","Fraser South",104,129.29
2021-01-15,"BC","Fraser","Unknown",0,0.43
2021-01-15,"BC","Interior","All",125,86.14
2021-01-15,"BC","Interior","East Kootenay",6,4
2021-01-15,"BC","Interior","Kootenay Boundary",4,1.29
2021-01-15,"BC","Interior","Okanagan",46,33.14
2021-01-15,"BC","Interior","Thompson Cariboo Shuswap",69,47.71
2021-01-15,"BC","Northern","All",77,56.86
2021-01-15,"BC","Northern","Northeast",25,12.43
2021-01-15,"BC","Northern","Northern Interior",31,20.43
2021-01-15,"BC","Northern","Northwest",21,24
2021-01-15,"BC","Northern","Unknown",0,0
2021-01-15,"BC","Vancouver Coastal","All",107,100.14
